Chemicals	bpa	pfoa	tcdd	pcb153	dehp
TDI -OBELIX	0.28	0.255	0	0	44
TDI -EFSA	5	0	0	0	50
exposure	0.132	0.0002	0	0	0
BB-OBELIX	0	0	4	0	0
BB-EFSA	0	0	0	0	0
BB-exposure	0	0	0.86	0	0
